student_id,item_code,construct,question,answer,constraint
DT2026-039,D01,Demographics,Which state or union territory do you currently live in?,Maharashtra,0
DT2026-039,D02,Demographics,Which city do you currently live in?,Pune,0
DT2026-039,D03,Demographics,How would you classify your city?,Metro (Tier 1),0
DT2026-039,D04,Demographics,What is the sex that you were assigned at birth?,Male,0
DT2026-039,D05,Demographics,"How old are you? (in years, number only)",27,0
DT2026-039,D06,Demographics,Your age group:,25-29,0
DT2026-039,D07,Demographics,What is the highest level of schooling or degree that you have completed?,Master's degree (enrolled),0
DT2026-039,D08,Demographics,Which of these best describes you?,Never been married,0
DT2026-039,D09,Demographics,"What is your present religion, if any?",Hindu,0
DT2026-039,D10,Demographics,"Aside from weddings and funerals, how often do you attend religious services?",Once or twice a month,0
DT2026-039,D11,Demographics,"Last year, what was your total family income from all sources, before taxes?",₹25-50 lakh,0
DT2026-039,D12,Demographics,"In general, would you describe your political views as",Somewhat liberal,0
DT2026-039,D13,Demographics,"Including yourself, how many people currently live in your household?",3,0
DT2026-039,D14,Demographics,What is your current employment status?,Student,0
DT2026-039,D15,Demographics,Which languages do you browse and shop in online?,English,0
DT2026-039,BF01,Big Five Personality,I see myself as someone who is full of energy,4 - Agree a little,0
DT2026-039,BF02,Big Five Personality,"I see myself as someone who is emotionally stable, not easily upset",3 - Neither agree nor disagree,0
DT2026-039,BF03,Big Five Personality,I see myself as someone who does things efficiently,5 - Agree strongly,0
DT2026-039,BF04,Big Five Personality,"I see myself as someone who is outgoing, sociable",4 - Agree a little,0
DT2026-039,BF05,Big Five Personality,"I see myself as someone who is sophisticated in art, music, or literature",5 - Agree strongly,0
DT2026-039,BF06,Big Five Personality,I see myself as someone who is considerate and kind to almost everyone,5 - Agree strongly,0
DT2026-039,BF07,Big Five Personality,I see myself as someone who is generally trusting,4 - Agree a little,0
DT2026-039,NC01,Need for Cognition,I would prefer complex to simple problems,5 - Agree strongly,0
DT2026-039,NC02,Need for Cognition,I find satisfaction in deliberating hard and for long hours,4 - Agree a little,0
DT2026-039,NC03,Need for Cognition,I prefer my life to be filled with puzzles that I must solve,3 - Neither agree nor disagree,0
